Index,Video,Question,Answer
23,videos/JGiXuXc3cao.3.4.mp4,Is the camera not completely still and shows visible movement?,Yes
24,videos/i82xURPkLWo.3.5.mp4,Is the camera completely still without any visible movement?,Yes
25,videos/yGsVo0uIJVs.3.3.mp4,Is the camera completely still without any visible movement?,No
26,videos/i82xURPkLWo.3.5.mp4,Is the camera not completely still and shows visible movement?,No
27,videos/yGsVo0uIJVs.3.3.mp4,Is the camera not completely still and shows visible movement?,Yes
28,videos/027bd84e297a500c52d35ab4a67f37e62007e76483baad5687496911e441d65d.1.mp4,Is the camera completely still without any visible movement?,Yes
29,videos/H4AZhS5WqKk.2.2.mp4,Is the camera completely still without any visible movement?,No
30,videos/027bd84e297a500c52d35ab4a67f37e62007e76483baad5687496911e441d65d.1.mp4,Is the camera not completely still and shows visible movement?,No
31,videos/H4AZhS5WqKk.2.2.mp4,Is the camera not completely still and shows visible movement?,Yes
32,videos/Gel59Iy3YhQ.12.3.mp4,Is the camera completely still without any visible movement?,Yes
33,videos/5679.1.21.mp4,Is the camera completely still without any visible movement?,No
34,videos/Gel59Iy3YhQ.12.3.mp4,Is the camera not completely still and shows visible movement?,No
35,videos/5679.1.21.mp4,Is the camera not completely still and shows visible movement?,Yes
36,videos/7jUW96CiEKA.8.1.mp4,Is the camera completely still without any visible movement?,Yes
37,videos/187.6.15.mp4,Is the camera completely still without any visible movement?,No
38,videos/7jUW96CiEKA.8.1.mp4,Is the camera not completely still and shows visible movement?,No
39,videos/187.6.15.mp4,Is the camera not completely still and shows visible movement?,Yes
40,videos/7jUW96CiEKA.0.3.mp4,Is the camera completely still without any visible movement?,Yes
41,videos/9ddb5f18be693e72c2dc446d3909d2d59d7036be4466643a956c9fae5e03f977.0.mp4,Is the camera completely still without any visible movement?,No
42,videos/7jUW96CiEKA.0.3.mp4,Is the camera not completely still and shows visible movement?,No
43,videos/9ddb5f18be693e72c2dc446d3909d2d59d7036be4466643a956c9fae5e03f977.0.mp4,Is the camera not completely still and shows visible movement?,Yes
44,videos/5eDQ2SSsmEk.4.5.mp4,Is the camera completely still without any visible movement?,Yes
45,videos/Hv_DRJZZ2qI.2.16.mp4,Is the camera completely still without any visible movement?,No
46,videos/5eDQ2SSsmEk.4.5.mp4,Is the camera not completely still and shows visible movement?,No
47,videos/Hv_DRJZZ2qI.2.16.mp4,Is the camera not completely still and shows visible movement?,Yes
48,videos/9a8a4d0688ffc6b5cb61bc3323634f3dbfbb310ad20130cf56762bfc113e44ed.0.mp4,Is the camera completely still without any visible movement?,Yes
49,videos/Ni7AYED85z4.2.17.mp4,Is the camera completely still without any visible movement?,No
50,videos/9a8a4d0688ffc6b5cb61bc3323634f3dbfbb310ad20130cf56762bfc113e44ed.0.mp4,Is the camera not completely still and shows visible movement?,No
51,videos/Ni7AYED85z4.2.17.mp4,Is the camera not completely still and shows visible movement?,Yes
52,videos/oRt5NPY7yYA.3.3.mp4,Is the camera completely still without any visible movement?,Yes
53,videos/oRt5NPY7yYA.0.6.mp4,Is the camera completely still without any visible movement?,No
54,videos/oRt5NPY7yYA.3.3.mp4,Is the camera not completely still and shows visible movement?,No
55,videos/oRt5NPY7yYA.0.6.mp4,Is the camera not completely still and shows visible movement?,Yes
56,videos/RYzkI_5ub58.8.8.mp4,Is the camera completely still without any visible movement?,Yes
57,videos/ZpJpZGktliQ.0.0.mp4,Is the camera completely still without any visible movement?,No
58,videos/RYzkI_5ub58.8.8.mp4,Is the camera not completely still and shows visible movement?,No
59,videos/ZpJpZGktliQ.0.0.mp4,Is the camera not completely still and shows visible movement?,Yes
60,videos/cdbdf71cb5b76ac81a00f2e3e5c22bc27b126da4579752cd6a10da3650b4d8e3.0.mp4,Is the camera completely still without any visible movement?,Yes
61,videos/RZs5Hz1klno.5.6.mp4,Is the camera completely still without any visible movement?,No
62,videos/cdbdf71cb5b76ac81a00f2e3e5c22bc27b126da4579752cd6a10da3650b4d8e3.0.mp4,Is the camera not completely still and shows visible movement?,No
63,videos/RZs5Hz1klno.5.6.mp4,Is the camera not completely still and shows visible movement?,Yes
64,videos/H4AZhS5WqKk.0.0.mp4,Is the camera completely still without any visible movement?,Yes
65,videos/1hu1np_BI2M.9.1.mp4,Is the camera completely still without any visible movement?,No
66,videos/H4AZhS5WqKk.0.0.mp4,Is the camera not completely still and shows visible movement?,No
67,videos/1hu1np_BI2M.9.1.mp4,Is the camera not completely still and shows visible movement?,Yes
68,videos/FUQhNGEu2KA.0.0.mp4,Is the camera completely still without any visible movement?,Yes
69,videos/upC8hjr2b4g.14.2.mp4,Is the camera completely still without any visible movement?,No
70,videos/FUQhNGEu2KA.0.0.mp4,Is the camera not completely still and shows visible movement?,No
71,videos/upC8hjr2b4g.14.2.mp4,Is the camera not completely still and shows visible movement?,Yes
72,videos/px9IqOnilHI.1.2.mp4,Is the camera completely still without any visible movement?,Yes
73,videos/KAer-wHAd38.5.8.mp4,Is the camera completely still without any visible movement?,No
74,videos/px9IqOnilHI.1.2.mp4,Is the camera not completely still and shows visible movement?,No
75,videos/KAer-wHAd38.5.8.mp4,Is the camera not completely still and shows visible movement?,Yes
76,videos/TktL3QR8Yg8.0.3.mp4,Is the camera completely still without any visible movement?,Yes
77,videos/rz8KzLbdS7g.8.5.mp4,Is the camera completely still without any visible movement?,No
78,videos/TktL3QR8Yg8.0.3.mp4,Is the camera not completely still and shows visible movement?,No
79,videos/rz8KzLbdS7g.8.5.mp4,Is the camera not completely still and shows visible movement?,Yes
80,videos/9cf72aeafdabae7ed510a61012c08e0f9e008056b5b579288dd57fcd38f9c505.1.mp4,Is the camera completely still without any visible movement?,Yes
81,videos/VKre9_wM3Mo.1.15.mp4,Is the camera completely still without any visible movement?,No
82,videos/9cf72aeafdabae7ed510a61012c08e0f9e008056b5b579288dd57fcd38f9c505.1.mp4,Is the camera not completely still and shows visible movement?,No
83,videos/VKre9_wM3Mo.1.15.mp4,Is the camera not completely still and shows visible movement?,Yes
84,videos/DEypDAnnJL0.0.0.mp4,Is the camera completely still without any visible movement?,Yes
85,videos/PIvOfcR77SQ.1.0.mp4,Is the camera completely still without any visible movement?,No
86,videos/DEypDAnnJL0.0.0.mp4,Is the camera not completely still and shows visible movement?,No
87,videos/PIvOfcR77SQ.1.0.mp4,Is the camera not completely still and shows visible movement?,Yes
88,videos/4e95dbc3dd1d19b5bf3026fa3ac72d2d6aba978280cfd151fb74dd2661ac2ac8.0.mp4,Is the camera completely still without any visible movement?,Yes
89,videos/A_StkRKB1jU.0.7.mp4,Is the camera completely still without any visible movement?,No
90,videos/4e95dbc3dd1d19b5bf3026fa3ac72d2d6aba978280cfd151fb74dd2661ac2ac8.0.mp4,Is the camera not completely still and shows visible movement?,No
91,videos/A_StkRKB1jU.0.7.mp4,Is the camera not completely still and shows visible movement?,Yes
92,videos/7pqGzmdE5zE.0.3.mp4,Is the camera completely still without any visible movement?,Yes
93,videos/QaRnEZFM6ZQ.0.9.mp4,Is the camera completely still without any visible movement?,No
94,videos/7pqGzmdE5zE.0.3.mp4,Is the camera not completely still and shows visible movement?,No
95,videos/QaRnEZFM6ZQ.0.9.mp4,Is the camera not completely still and shows visible movement?,Yes
96,videos/3005.1.15.mp4,Is the camera completely still without any visible movement?,Yes
97,videos/Gel59Iy3YhQ.53.3.mp4,Is the camera completely still without any visible movement?,No
98,videos/3005.1.15.mp4,Is the camera not completely still and shows visible movement?,No
99,videos/Gel59Iy3YhQ.53.3.mp4,Is the camera not completely still and shows visible movement?,Yes
100,videos/mlShD2AvbV8.5.6.mp4,Is the camera completely still without any visible movement?,Yes
101,videos/012c118a-b3092f3b.6.mp4,Is the camera completely still without any visible movement?,No
102,videos/mlShD2AvbV8.5.6.mp4,Is the camera not completely still and shows visible movement?,No
103,videos/012c118a-b3092f3b.6.mp4,Is the camera not completely still and shows visible movement?,Yes
104,videos/qYztDs8vPBg.2.2.mp4,Is the camera completely still without any visible movement?,Yes
105,videos/394cd3ffde533c8b364131cb7286c88786fc1892c52e78c2fa113e654363a9f7.0.mp4,Is the camera completely still without any visible movement?,No
106,videos/qYztDs8vPBg.2.2.mp4,Is the camera not completely still and shows visible movement?,No
107,videos/394cd3ffde533c8b364131cb7286c88786fc1892c52e78c2fa113e654363a9f7.0.mp4,Is the camera not completely still and shows visible movement?,Yes
108,videos/gooWdc6kb80.0.7.mp4,Is the camera completely still without any visible movement?,Yes
109,videos/QMlfVwN3iTw.3.0.mp4,Is the camera completely still without any visible movement?,No
110,videos/gooWdc6kb80.0.7.mp4,Is the camera not completely still and shows visible movement?,No
111,videos/QMlfVwN3iTw.3.0.mp4,Is the camera not completely still and shows visible movement?,Yes
112,videos/338.2.33.mp4,Is the camera completely still without any visible movement?,Yes
113,videos/piQsdrDKzzM.1.2.mp4,Is the camera completely still without any visible movement?,No
114,videos/338.2.33.mp4,Is the camera not completely still and shows visible movement?,No
115,videos/piQsdrDKzzM.1.2.mp4,Is the camera not completely still and shows visible movement?,Yes
116,videos/Oy8yQZ1Wg7k.0.1.mp4,Is the camera completely still without any visible movement?,Yes
117,videos/hpTEzp-6CkM.0.3.mp4,Is the camera completely still without any visible movement?,No
118,videos/Oy8yQZ1Wg7k.0.1.mp4,Is the camera not completely still and shows visible movement?,No
119,videos/hpTEzp-6CkM.0.3.mp4,Is the camera not completely still and shows visible movement?,Yes
120,videos/guZ5AxQ6xb0.1.2.mp4,Is the camera completely still without any visible movement?,Yes
121,videos/0Pzq0URbL2M.5.1.mp4,Is the camera completely still without any visible movement?,No
122,videos/guZ5AxQ6xb0.1.2.mp4,Is the camera not completely still and shows visible movement?,No
123,videos/0Pzq0URbL2M.5.1.mp4,Is the camera not completely still and shows visible movement?,Yes
124,videos/4PcpGxihPac.3.3.mp4,Is the camera completely still without any visible movement?,Yes
125,videos/MQugcNLFI9k.0.2.mp4,Is the camera completely still without any visible movement?,No
126,videos/4PcpGxihPac.3.3.mp4,Is the camera not completely still and shows visible movement?,No
127,videos/MQugcNLFI9k.0.2.mp4,Is the camera not completely still and shows visible movement?,Yes
128,videos/6303.0.2.mp4,Is the camera completely still without any visible movement?,Yes
129,videos/u35WIs62R2M.1.4.mp4,Is the camera completely still without any visible movement?,No
130,videos/6303.0.2.mp4,Is the camera not completely still and shows visible movement?,No
131,videos/u35WIs62R2M.1.4.mp4,Is the camera not completely still and shows visible movement?,Yes
132,videos/d1046a4b2aaba4928fb997c6f4ee93b72219bb1ad1f5a2f0e6696e8ef32312cd.0.mp4,Is the camera completely still without any visible movement?,Yes
133,videos/7xltSb3VBJQ.2.4.mp4,Is the camera completely still without any visible movement?,No
134,videos/d1046a4b2aaba4928fb997c6f4ee93b72219bb1ad1f5a2f0e6696e8ef32312cd.0.mp4,Is the camera not completely still and shows visible movement?,No
135,videos/7xltSb3VBJQ.2.4.mp4,Is the camera not completely still and shows visible movement?,Yes
136,videos/GdRJCTR1KDQ.1.4.mp4,Is the camera completely still without any visible movement?,Yes
137,videos/2254244.3.mp4,Is the camera completely still without any visible movement?,No
138,videos/GdRJCTR1KDQ.1.4.mp4,Is the camera not completely still and shows visible movement?,No
139,videos/2254244.3.mp4,Is the camera not completely still and shows visible movement?,Yes
140,videos/OrOYvVf6tIM.2.1.mp4,Is the camera completely still without any visible movement?,Yes
141,videos/4f3hG-5grlw.4.3.mp4,Is the camera completely still without any visible movement?,No
142,videos/OrOYvVf6tIM.2.1.mp4,Is the camera not completely still and shows visible movement?,No
143,videos/4f3hG-5grlw.4.3.mp4,Is the camera not completely still and shows visible movement?,Yes
144,videos/snghE_hWMhY.0.mp4,Is the camera completely still without any visible movement?,Yes
145,videos/3HYfPz8lvDI.4.3.mp4,Is the camera completely still without any visible movement?,No
146,videos/snghE_hWMhY.0.mp4,Is the camera not completely still and shows visible movement?,No
147,videos/3HYfPz8lvDI.4.3.mp4,Is the camera not completely still and shows visible movement?,Yes
148,videos/Gel59Iy3YhQ.13.2.mp4,Is the camera completely still without any visible movement?,Yes
149,videos/ce7a2df064c272a750b3eaa0e6ea6aa10e975f2df17b825549ca3c439aaf0317.0.mp4,Is the camera completely still without any visible movement?,No
150,videos/Gel59Iy3YhQ.13.2.mp4,Is the camera not completely still and shows visible movement?,No
151,videos/ce7a2df064c272a750b3eaa0e6ea6aa10e975f2df17b825549ca3c439aaf0317.0.mp4,Is the camera not completely still and shows visible movement?,Yes
152,videos/vEvBpjCOBu0.6.1.mp4,Is the camera completely still without any visible movement?,Yes
153,videos/OCBYMQzG44U.2.8.mp4,Is the camera completely still without any visible movement?,No
154,videos/vEvBpjCOBu0.6.1.mp4,Is the camera not completely still and shows visible movement?,No
155,videos/OCBYMQzG44U.2.8.mp4,Is the camera not completely still and shows visible movement?,Yes
156,videos/i82xURPkLWo.3.6.mp4,Is the camera completely still without any visible movement?,Yes
157,videos/Gel59Iy3YhQ.13.4.mp4,Is the camera completely still without any visible movement?,No
158,videos/i82xURPkLWo.3.6.mp4,Is the camera not completely still and shows visible movement?,No
159,videos/Gel59Iy3YhQ.13.4.mp4,Is the camera not completely still and shows visible movement?,Yes
160,videos/D2PZUB_lDCk.2.5.mp4,Is the camera completely still without any visible movement?,Yes
161,videos/Gel59Iy3YhQ.29.2.mp4,Is the camera completely still without any visible movement?,No
162,videos/D2PZUB_lDCk.2.5.mp4,Is the camera not completely still and shows visible movement?,No
163,videos/Gel59Iy3YhQ.29.2.mp4,Is the camera not completely still and shows visible movement?,Yes
164,videos/w-HYZv6HzAs.3.0.mp4,Is the camera completely still without any visible movement?,Yes
165,videos/Ni7AYED85z4.2.15.mp4,Is the camera completely still without any visible movement?,No
166,videos/w-HYZv6HzAs.3.0.mp4,Is the camera not completely still and shows visible movement?,No
167,videos/Ni7AYED85z4.2.15.mp4,Is the camera not completely still and shows visible movement?,Yes
168,videos/06789991de47b8c00d46246a5abcfd0a830d609e8ac1723fdda38dfccc3d3523.0.mp4,Is the camera completely still without any visible movement?,Yes
169,videos/KF5p8VIbt0Y.1.1.mp4,Is the camera completely still without any visible movement?,No
170,videos/06789991de47b8c00d46246a5abcfd0a830d609e8ac1723fdda38dfccc3d3523.0.mp4,Is the camera not completely still and shows visible movement?,No
171,videos/KF5p8VIbt0Y.1.1.mp4,Is the camera not completely still and shows visible movement?,Yes
172,videos/5eDQ2SSsmEk.2.4.mp4,Is the camera completely still without any visible movement?,Yes
173,videos/NZ3Pba3Xsk4.5.3.mp4,Is the camera completely still without any visible movement?,No
174,videos/5eDQ2SSsmEk.2.4.mp4,Is the camera not completely still and shows visible movement?,No
175,videos/NZ3Pba3Xsk4.5.3.mp4,Is the camera not completely still and shows visible movement?,Yes
176,videos/GjEImPidK4g.7.0.mp4,Is the camera completely still without any visible movement?,Yes
177,videos/7pqGzmdE5zE.0.1.mp4,Is the camera completely still without any visible movement?,No
178,videos/GjEImPidK4g.7.0.mp4,Is the camera not completely still and shows visible movement?,No
179,videos/7pqGzmdE5zE.0.1.mp4,Is the camera not completely still and shows visible movement?,Yes
180,videos/opXBWdk-mbQ.0.4.mp4,Is the camera completely still without any visible movement?,Yes
181,videos/0OFBj7EjZ-g.4.4.mp4,Is the camera completely still without any visible movement?,No
182,videos/opXBWdk-mbQ.0.4.mp4,Is the camera not completely still and shows visible movement?,No
183,videos/0OFBj7EjZ-g.4.4.mp4,Is the camera not completely still and shows visible movement?,Yes
184,videos/Gel59Iy3YhQ.35.4.mp4,Is the camera completely still without any visible movement?,Yes
185,videos/LNHBMFCzznE.5.13.mp4,Is the camera completely still without any visible movement?,No
186,videos/Gel59Iy3YhQ.35.4.mp4,Is the camera not completely still and shows visible movement?,No
187,videos/LNHBMFCzznE.5.13.mp4,Is the camera not completely still and shows visible movement?,Yes
188,videos/2530.0.10.mp4,Is the camera completely still without any visible movement?,Yes
189,videos/5eDQ2SSsmEk.3.6.mp4,Is the camera completely still without any visible movement?,No
190,videos/2530.0.10.mp4,Is the camera not completely still and shows visible movement?,No
191,videos/5eDQ2SSsmEk.3.6.mp4,Is the camera not completely still and shows visible movement?,Yes
192,videos/ti231UvSvfQ.12.2.mp4,Is the camera completely still without any visible movement?,Yes
193,videos/CbIWq4PGFCo.1.1.mp4,Is the camera completely still without any visible movement?,No
194,videos/ti231UvSvfQ.12.2.mp4,Is the camera not completely still and shows visible movement?,No
195,videos/CbIWq4PGFCo.1.1.mp4,Is the camera not completely still and shows visible movement?,Yes
196,videos/px9IqOnilHI.1.5.mp4,Is the camera completely still without any visible movement?,Yes
197,videos/mIiPt1YVkP8.10.2.mp4,Is the camera completely still without any visible movement?,No
198,videos/px9IqOnilHI.1.5.mp4,Is the camera not completely still and shows visible movement?,No
199,videos/mIiPt1YVkP8.10.2.mp4,Is the camera not completely still and shows visible movement?,Yes
200,videos/JDaw5I_5hPk.0.1.mp4,Is the camera completely still without any visible movement?,Yes
201,videos/4uGfFYzxWEg.4.9.mp4,Is the camera completely still without any visible movement?,No
202,videos/JDaw5I_5hPk.0.1.mp4,Is the camera not completely still and shows visible movement?,No
203,videos/4uGfFYzxWEg.4.9.mp4,Is the camera not completely still and shows visible movement?,Yes
204,videos/OrOYvVf6tIM.2.2.mp4,Is the camera completely still without any visible movement?,Yes
205,videos/eWpsukBVJAI.0.1.mp4,Is the camera completely still without any visible movement?,No
206,videos/OrOYvVf6tIM.2.2.mp4,Is the camera not completely still and shows visible movement?,No
207,videos/eWpsukBVJAI.0.1.mp4,Is the camera not completely still and shows visible movement?,Yes
208,videos/Gel59Iy3YhQ.37.2.mp4,Is the camera completely still without any visible movement?,Yes
209,videos/H4AZhS5WqKk.2.11.mp4,Is the camera completely still without any visible movement?,No
210,videos/Gel59Iy3YhQ.37.2.mp4,Is the camera not completely still and shows visible movement?,No
211,videos/H4AZhS5WqKk.2.11.mp4,Is the camera not completely still and shows visible movement?,Yes
212,videos/338.2.6.mp4,Is the camera completely still without any visible movement?,Yes
213,videos/168085.0.mp4,Is the camera completely still without any visible movement?,No
214,videos/338.2.6.mp4,Is the camera not completely still and shows visible movement?,No
215,videos/168085.0.mp4,Is the camera not completely still and shows visible movement?,Yes
216,videos/vEvBpjCOBu0.5.0.mp4,Is the camera completely still without any visible movement?,Yes
217,videos/0BmANHSUbJg.3.5.mp4,Is the camera completely still without any visible movement?,No
218,videos/vEvBpjCOBu0.5.0.mp4,Is the camera not completely still and shows visible movement?,No
219,videos/0BmANHSUbJg.3.5.mp4,Is the camera not completely still and shows visible movement?,Yes
220,videos/RYzkI_5ub58.15.7.mp4,Is the camera completely still without any visible movement?,Yes
221,videos/m3bwXvQoAdo.0.4.mp4,Is the camera completely still without any visible movement?,No
222,videos/RYzkI_5ub58.15.7.mp4,Is the camera not completely still and shows visible movement?,No
223,videos/m3bwXvQoAdo.0.4.mp4,Is the camera not completely still and shows visible movement?,Yes
224,videos/5eDQ2SSsmEk.4.6.mp4,Is the camera completely still without any visible movement?,Yes
225,videos/4PcpGxihPac.4.3.mp4,Is the camera completely still without any visible movement?,No
226,videos/5eDQ2SSsmEk.4.6.mp4,Is the camera not completely still and shows visible movement?,No
227,videos/4PcpGxihPac.4.3.mp4,Is the camera not completely still and shows visible movement?,Yes
228,videos/yKHjA7oooPE.4.2.mp4,Is the camera completely still without any visible movement?,Yes
229,videos/60.0.28.mp4,Is the camera completely still without any visible movement?,No
230,videos/yKHjA7oooPE.4.2.mp4,Is the camera not completely still and shows visible movement?,No
231,videos/60.0.28.mp4,Is the camera not completely still and shows visible movement?,Yes
232,videos/i82xURPkLWo.3.8.mp4,Is the camera completely still without any visible movement?,Yes
233,videos/3HYfPz8lvDI.1.1.mp4,Is the camera completely still without any visible movement?,No
234,videos/i82xURPkLWo.3.8.mp4,Is the camera not completely still and shows visible movement?,No
235,videos/3HYfPz8lvDI.1.1.mp4,Is the camera not completely still and shows visible movement?,Yes
236,videos/7jUW96CiEKA.3.1.mp4,Is the camera completely still without any visible movement?,Yes
237,videos/LI7i6DQfh0o.0.2.mp4,Is the camera completely still without any visible movement?,No
238,videos/7jUW96CiEKA.3.1.mp4,Is the camera not completely still and shows visible movement?,No
239,videos/LI7i6DQfh0o.0.2.mp4,Is the camera not completely still and shows visible movement?,Yes
240,videos/ckpwSAv5we8.2.2.mp4,Is the camera completely still without any visible movement?,Yes
241,videos/vEvBpjCOBu0.6.7.mp4,Is the camera completely still without any visible movement?,No
242,videos/ckpwSAv5we8.2.2.mp4,Is the camera not completely still and shows visible movement?,No
243,videos/vEvBpjCOBu0.6.7.mp4,Is the camera not completely still and shows visible movement?,Yes
244,videos/4080.2.4.mp4,Is the camera completely still without any visible movement?,Yes
245,videos/0tIoyN7WKuA.3.1.mp4,Is the camera completely still without any visible movement?,No
246,videos/4080.2.4.mp4,Is the camera not completely still and shows visible movement?,No
247,videos/0tIoyN7WKuA.3.1.mp4,Is the camera not completely still and shows visible movement?,Yes
248,videos/kxcw0iSn0xw.3.2.mp4,Is the camera completely still without any visible movement?,Yes
249,videos/1560.0.3.mp4,Is the camera completely still without any visible movement?,No
250,videos/kxcw0iSn0xw.3.2.mp4,Is the camera not completely still and shows visible movement?,No
251,videos/1560.0.3.mp4,Is the camera not completely still and shows visible movement?,Yes
252,videos/5679.1.1.mp4,Is the camera completely still without any visible movement?,Yes
253,videos/1497.1.18.mp4,Is the camera completely still without any visible movement?,No
254,videos/5679.1.1.mp4,Is the camera not completely still and shows visible movement?,No
255,videos/1497.1.18.mp4,Is the camera not completely still and shows visible movement?,Yes
256,videos/KI2lsdXJQ40.0.11.mp4,Is the camera completely still without any visible movement?,Yes
257,videos/LNHBMFCzznE.5.14.mp4,Is the camera completely still without any visible movement?,No
258,videos/KI2lsdXJQ40.0.11.mp4,Is the camera not completely still and shows visible movement?,No
259,videos/LNHBMFCzznE.5.14.mp4,Is the camera not completely still and shows visible movement?,Yes
260,videos/GdRJCTR1KDQ.0.6.mp4,Is the camera completely still without any visible movement?,Yes
261,videos/88vmzn_LufA.6.6.mp4,Is the camera completely still without any visible movement?,No
262,videos/GdRJCTR1KDQ.0.6.mp4,Is the camera not completely still and shows visible movement?,No
263,videos/88vmzn_LufA.6.6.mp4,Is the camera not completely still and shows visible movement?,Yes
264,videos/bX8GaZ3O4-Q.3.8.mp4,Is the camera completely still without any visible movement?,Yes
265,videos/yGsVo0uIJVs.3.5.mp4,Is the camera completely still without any visible movement?,No
266,videos/bX8GaZ3O4-Q.3.8.mp4,Is the camera not completely still and shows visible movement?,No
267,videos/yGsVo0uIJVs.3.5.mp4,Is the camera not completely still and shows visible movement?,Yes
268,videos/1934.1.11.mp4,Is the camera completely still without any visible movement?,Yes
269,videos/fP5UM4elIes.0.5.mp4,Is the camera completely still without any visible movement?,No
270,videos/1934.1.11.mp4,Is the camera not completely still and shows visible movement?,No
271,videos/fP5UM4elIes.0.5.mp4,Is the camera not completely still and shows visible movement?,Yes
272,videos/M0jmSsQ5ptw.0.7.mp4,Is the camera completely still without any visible movement?,Yes
273,videos/4uGfFYzxWEg.5.0.mp4,Is the camera completely still without any visible movement?,No
274,videos/M0jmSsQ5ptw.0.7.mp4,Is the camera not completely still and shows visible movement?,No
275,videos/4uGfFYzxWEg.5.0.mp4,Is the camera not completely still and shows visible movement?,Yes
276,videos/6h6bMAWLYAI.2.1.mp4,Is the camera completely still without any visible movement?,Yes
277,videos/nGJMwixogyk.5.4.mp4,Is the camera completely still without any visible movement?,No
278,videos/6h6bMAWLYAI.2.1.mp4,Is the camera not completely still and shows visible movement?,No
279,videos/nGJMwixogyk.5.4.mp4,Is the camera not completely still and shows visible movement?,Yes
280,videos/rs4B8-qoY1I.0.4.mp4,Is the camera completely still without any visible movement?,Yes
281,videos/Hv_DRJZZ2qI.2.9.mp4,Is the camera completely still without any visible movement?,No
282,videos/rs4B8-qoY1I.0.4.mp4,Is the camera not completely still and shows visible movement?,No
283,videos/Hv_DRJZZ2qI.2.9.mp4,Is the camera not completely still and shows visible movement?,Yes
284,videos/opXBWdk-mbQ.0.1.mp4,Is the camera completely still without any visible movement?,Yes
285,videos/mIiPt1YVkP8.5.3.mp4,Is the camera completely still without any visible movement?,No
286,videos/opXBWdk-mbQ.0.1.mp4,Is the camera not completely still and shows visible movement?,No
287,videos/mIiPt1YVkP8.5.3.mp4,Is the camera not completely still and shows visible movement?,Yes
288,videos/7jUW96CiEKA.0.12.mp4,Is the camera completely still without any visible movement?,Yes
289,videos/iXzposKQzvs.2.3.mp4,Is the camera completely still without any visible movement?,No
290,videos/7jUW96CiEKA.0.12.mp4,Is the camera not completely still and shows visible movement?,No
291,videos/iXzposKQzvs.2.3.mp4,Is the camera not completely still and shows visible movement?,Yes
292,videos/qYztDs8vPBg.1.1.mp4,Is the camera completely still without any visible movement?,Yes
293,videos/OrOYvVf6tIM.2.4.mp4,Is the camera completely still without any visible movement?,No
294,videos/qYztDs8vPBg.1.1.mp4,Is the camera not completely still and shows visible movement?,No
295,videos/OrOYvVf6tIM.2.4.mp4,Is the camera not completely still and shows visible movement?,Yes
296,videos/1934.1.9.mp4,Is the camera completely still without any visible movement?,Yes
297,videos/GVr8pZmSa-c.0.3.mp4,Is the camera completely still without any visible movement?,No
298,videos/1934.1.9.mp4,Is the camera not completely still and shows visible movement?,No
299,videos/GVr8pZmSa-c.0.3.mp4,Is the camera not completely still and shows visible movement?,Yes
300,videos/qYztDs8vPBg.1.2.mp4,Is the camera completely still without any visible movement?,Yes
301,videos/uzj1rNNhmY0.0.1.mp4,Is the camera completely still without any visible movement?,No
302,videos/qYztDs8vPBg.1.2.mp4,Is the camera not completely still and shows visible movement?,No
